Départementdomicile	moinsd'un	1à4	5à9	10à14	15à19	20à24	25à29	30à34	35à39	40à44	45à49	50à54	55à59	60à64	65à69	70à74	75à79	80à84	85ans	region	moinsd'un.Femme	1à4.Femme	5à9.Femme	10à14.Femme	15à19.Femme	20à24.Femme	25à29.Femme	30à34.Femme	35à39.Femme	40à44.Femme	45à49.Femme	50à54.Femme	55à59.Femme	60à64.Femme	65à69.Femme	70à74.Femme	75à79.Femme	80à84.Femme	85ans.Femme
Paris	51	14	4	6	15	25	47	54	106	137	212	272	426	500	503	583	744	917	1906	Île-de-France	35	12	3	4	10	21	39	29	38	81	121	164	234	316	331	430	669	1013	3817
Seine-et-Marne	34	9	6	3	16	24	35	25	53	77	127	221	325	372	308	396	513	565	988	Île-de-France	29	13	5	5	7	9	17	19	26	59	102	120	149	189	155	213	431	576	1993
Yvelines	28	12	8	4	11	28	30	27	63	97	100	191	314	333	273	433	514	619	1082	Île-de-France	26	9	6	4	6	8	5	16	28	46	74	119	148	177	163	260	382	641	2186
Essonne	31	5	5	6	12	26	26	29	39	76	109	183	299	321	310	319	508	563	809	Île-de-France	21	14	2	3	5	8	11	15	22	28	54	88	134	160	149	204	350	542	1802
Hauts-de-Seine	38	10	6	6	9	23	30	29	41	74	129	192	285	362	338	375	580	706	1324	Île-de-France	32	10	9	2	8	5	15	14	37	56	73	129	163	193	185	252	408	758	2623
Seine-Saint-Denis	63	27	10	5	23	22	45	43	53	94	174	262	370	412	359	423	578	587	831	Île-de-France	62	18	5	8	12	11	27	25	36	42	86	130	175	170	167	279	405	676	1591
Val-de-Marne	40	8	3	0	9	22	32	35	44	71	132	191	263	357	310	385	553	592	1016	Île-de-France	27	9	2	3	1	8	8	20	26	49	75	129	142	168	161	220	388	605	1959
Val-d'Oise	39	11	1	8	12	15	19	27	44	67	124	167	302	270	289	302	422	499	796	Île-de-France	22	7	2	3	2	8	8	11	29	40	62	99	145	173	131	208	355	518	1505
Ardennes	11	0	0	0	2	9	12	6	17	26	39	61	103	142	94	150	206	233	308	Champagne-Ardenne	6	0	1	1	2	1	3	3	9	12	32	31	54	44	57	98	139	222	621
Aube	8	4	2	3	2	7	11	13	15	31	36	60	92	117	115	116	196	236	404	Champagne-Ardenne	12	2	0	0	3	3	2	4	5	22	19	41	48	55	51	69	129	243	738
Marne	14	4	2	4	6	18	15	21	33	50	62	106	168	189	177	256	356	404	613	Champagne-Ardenne	11	4	4	2	8	2	6	3	9	12	26	79	79	104	93	125	218	390	1201
Haute-Marne	3	1	1	3	5	2	11	7	12	22	34	32	58	81	70	96	166	175	295	Champagne-Ardenne	5	4	1	0	1	2	7	2	5	11	15	15	28	28	27	70	95	190	509
Aisne	13	6	1	4	8	18	15	22	41	51	79	154	183	257	190	257	395	456	648	Picardie	6	4	1	3	7	4	13	7	16	22	47	62	79	94	96	155	278	505	1171
Oise	20	5	0	4	14	21	22	20	47	71	109	142	248	283	229	343	429	495	694	Picardie	26	5	2	3	6	4	13	8	20	30	52	91	89	124	97	181	306	455	1406
Somme	15	6	1	1	12	17	8	18	33	63	97	143	205	238	200	318	374	461	724	Picardie	5	5	3	5	4	6	7	6	17	28	49	65	101	98	105	160	305	455	1187
Eure	13	7	4	1	10	21	26	20	32	58	102	130	180	215	203	255	366	395	683	Haute-Normandie	7	2	1	0	2	11	4	3	11	31	43	65	71	104	79	137	227	388	1153
